,Hospital,State,City,LocalAddress,Pincode,Hospital Type,Hospital Ownership,User Ratings(out of 5)
1008,Chittaragi Hospital,Karnataka,Bagalkot,Bramanand Asram Road Bus Stand Road Rabkavi,587314,Maternity Hospital or Birthing Center,Voluntary non-profit ,4.4
1009,Chobe Maternity & Nursing Home,Maharashtra,Aurangabad,"Opp Chetna Nagar,Marathwada",431005,Maternity Hospital or Birthing Center,Government,3.7
1010,Chopda Medicare & Research Centre Pvt.Ltd,Maharashtra,Nashik,"Patil Lane - 1,Nashik, Maharashtra",422005,Maternity Hospital or Birthing Center,Voluntary non-profit ,4.2
1011,Chopda Medicare & Research Centre Pvt Ltd,Maharashtra,Nashik,Patil Lane No 1 Canada Corner Nashik 422005,422005,Psychiatric Hospital or Mental Health Clinic,Proprietary,3.1
1012,Chord Road Hospital Pvt Ltd,Karnataka,Bangalore,100 Bima Jyoti Lic Colony2Nd Stage West Of Chord Road,560079,Pediatric Hospital,Voluntary non-profit ,3.9
1013,Choudhari Hospital,Karnataka,Bijapur,"Shikharakhana Road, Near Lic Office",586104,Cardiology Center,Voluntary non-profit ,3.8
1014,Choudhary Ent Maternity & General Health Care Centre,Punjab,Amritsar,"Near State Bank Of India Katra-Khazana,",143001,Maternity Hospital or Birthing Center,Private,3.8
1015,Chougala Hospital,Karnataka,Belgaum,"Shanti Nagar,Hallyal Road,Athani,",591304,Eye Hospital or Ophthalmology Clinic,Government,3.8
1016,Christian Hospital,Tamilnadu,Madurai,"Vaigai Dam Road, Periyakulam,Perivakulam- 625 601",625601,Pediatric Hospital,Government,4.8
1017,Christian Medical College & Hospital,Punjab,Ludhiana,"Brown Road,",141008,Maternity Hospital or Birthing Center,Government,4.7
1018,Christian Mission Hospital,Kerala,Pathanamthitta,Pandalam,689501,Cardiology Center,Proprietary,5
1019,Christos Hospital,Kerala,Alleppey,"Xxiv/228,Kayamlukam,Kpac Junction",690502,Orthopedic Hospital or Clinic,Proprietary,3.6
1020,Christudas Orthopaedic Speciality Hospital,Tamilnadu,Chennai,"#9.Duraiswamy Ngr. I.A.F. Road, Tamilnadu Chennai 59",600059,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,3.1
1021,Ciigma Institute & Medical Sciences Pvt Ltd,Maharashtra,Aurangabad,"#8,Raghuveer Nagar,Jalna Road,Opp Sfs High School",431005,Pediatric Hospital,Government,3.5
1022,Cims Hospital Private Limited,Gujarat,Ahmedabad,Nr Shukan Mall Off Science City Road Sola Shukan Mall,380060,Cardiology Center,Voluntary non-profit ,4.5
1023,Citi Hospital,Karnataka,Bangalore,"25/91,West Of Chord Road, 20Th Main, 2Nd Block, Rajajinagar, Bangalore",560010,General Hospital,Voluntary non-profit ,4.4
1024,Citi Hospital,Karnataka,Bellary,"No.52/A, Dam Road,Hospet, Bellary-583203",583203,Eye Hospital or Ophthalmology Clinic,Proprietary,4.6
1025,Citi Hospital,Madhya Pradesh,Bhopal,"#115-Zone Ii,Maharana Pratap Nagar,",462011,Pediatric Hospital,Voluntary non-profit ,4.2
1026,City Cancer Centre,Andhra Pradesh,Hyderabad,"No.33-25-33,Ch.Venkata Krishnaiah Street,Suryaraopet,Krishna,Vijayawada",520002,Pediatric Hospital,Government,4.4
1027,City Care Hospital,Haryana,Rewari,"Sco No 24 Huda Shopping Complex, Sector 4 Rewari Haryana",123401,Dental Clinic,Government,4.2
1028,City Central Hospital Pvt Ltd,Karnataka,Davangere,"# 17, Akkamahadevi Road,Near Chethana Hotel",577002,Maternity Hospital or Birthing Center,Voluntary non-profit ,4.3
1029,City Clinic,Karnataka,Hubli,"Madhavpur, Hubli",580020,Dental Clinic,Proprietary,4.2
1030,City Eye Foundation,Kerala,Kozhicode,"17/255,Pavamani Road,",673001,Dental Clinic,Proprietary,3.3
1031,City Heart Hospital ( Unit Of Rajgarh Polyclinic & Nursing Home ),Assam,Guwahati,"Rajgarh Road, Gawahati, Kamrup, Assam",781007,Pediatric Hospital,Government,4.5
1032,City Hospital,Haryana,Rohtak,"1533/21, Chunnipura, Saini School Road, Rohtak, Haryana, Opp. Saini Girls High School.",124001,General Hospital,Private,4.7
1033,City Hospital,Rajasthan,Sriganganagar,"#45,Model Colony,Sri Ganganagar",335001,General Hospital,Proprietary,4.9
1034,City Hospital,Uttaranchal,Hardwar,Super Complex Ranipur More Haridwaruk,249407,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.6
1035,City Hospital,Karnataka,Shimoga,"R.M.R. Road, Durgigudi,Shimoga-577201.",577201,Pediatric Hospital,Government,4.6
1036,City Hospital,Tamilnadu,Erode,"#87,Rkv Road,Near Chennai Silks",638003,Pediatric Hospital,Proprietary,4.1
1037,City Hospital,Tamilnadu,Tuticorin,"106, G/8A, Palai Main Road (W)Millerpuram Corner,",628008,Psychiatric Hospital or Mental Health Clinic,Government,4.8
1038,City Hospital,Maharashtra,Kolhapur,"1708 E, 8Th Lane, Rajarampuri",416008,General Hospital,Proprietary,4.2
1039,City Hospital,Maharashtra,Solapur,"Old Employment Chowk,'B'Wing City Pride Building Vip Road",413001,General Hospital,Proprietary,4.1
1040,City Hospital & Diagnostic Centre,Karnataka,Udupi,"Vidyaranya Mag,Behind Alankar Theatreudupi",576101,General Hospital,Private,4.8
1041,City Hospital & Maternity Home,Haryana,Faridabad,"Sector-16, Faridabad,Haryana-121002",121002,Cardiology Center,Private,3.8
1042,City Hospital & Research Centre,Assam,Tinsukia,"A.T. Road, Near Timkonia Dukmari, Timsukia, Assam-786125",786125,Cardiology Center,Government,4.4
1043,City Hospital & Research Centre,Madhya Pradesh,Gwalior,"Jail Road, Bohadapur, Gwalior, Madhya Pradesh.",474012,Pediatric Hospital,Proprietary,3.9
1044,City Hospital Pavalam Trauma Centre,Tamilnadu,Dindigul,4/361 Gandhiji Nagar Trichy Road,624005,Dental Clinic,Private,4.9
1045,City Hospital Pvt Ltd,Kerala,Cochin,"Post Box #3525,M.G Road Ernakulam",682035,Maternity Hospital or Birthing Center,Voluntary non-profit ,4.3
1046,City Hospital Research & Diagnostic Centre,Karnataka,Mangalore,"Pound Garden,Kadri,Dakshina Kannada,",575003,Dental Clinic,Private,4.1
1047,City Hospital& Trauma Centre,Uttar Pradesh,Lucknow,"C-1, Cinder Dump Complex.Opp Krishna Cinema Hall",226005,Pediatric Hospital,Proprietary,3.5
1048,City Medical Centre,Karnataka,Davangere,"Badila Guthu Complex1St Main, M.C.C.B Block",577004,Pediatric Hospital,Proprietary,3.7
1049,Citycare Hospital & Research Centre Pvt Ltd,Maharashtra,Nashik,"Near Nasardi Bridge,Nasik Poona Road,Dwarka",422001,General Hospital,Government,4.4
1050,Clear Vision Eye Centre,Maharashtra,Mumbai,"1-A, Ashoka, 15 Sv Road, St.Theresa'S Convent Schoolsantacruz(W)",400054,Pediatric Hospital,Private,3.9
1051,Clear Vision Eye Hospital,Andhra Pradesh,Himayatnagar,"3-6-272, Nvk Towers, Opp Telugu Academy Himayathnagar, Hyderabad-500029Quarters Road, Hyderabad.",500029,Dental Clinic,Proprietary,4.8
1052,Clinic Nallam,Tamilnadu,Pondicherry,"86,Eswaran Koil Street",605001,Cardiology Center,Government,4.4
1053,Cloudnine (A Venture Of Kids Clinic Pvt Ltd,Karnataka,Bangalore,"#1533,9Th Main, Jayanagar 3Rd Block",560011,Psychiatric Hospital or Mental Health Clinic,Government,4.8
1054,Cloudnine (Kids Clinic India Pvt. Ltd.),Karnataka,Bangalore,"115, Kodi Halli, Old Airport Road, Bangalore-560017",560017,Psychiatric Hospital or Mental Health Clinic,Proprietary,4.6
1055,Cnr Nursing Home,Andhra Pradesh,Kadapa,"4/6,Gandhi Road,Proddatur",516360,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,3.2
1056,Coastal Cardiac And Maternity Centre,Andhra Pradesh,Rajahmundry,Danavaipeta Park Beside Hdfc Bank East Godavari,533103,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,3.4
1057,Coastal Care Hospital,Andhra Pradesh,Guntur,"8Th, Line, Old Club Road, Gunturivarithota, Kothapet, Guntur-522001, Opp Bus Stand, Old Club Road",522001,Eye Hospital or Ophthalmology Clinic,Government,3.8
1058,Cochin Hospital,Kerala,Cochin,Mg Road,682016,Dental Clinic,Voluntary non-profit ,3.7
1059,Coimbatore Bone And Joint Foundation Pvt Ltd,Tamilnadu,Coimbatore,"#1091-Mettupalayam Road,North Coimbatore Bus Stop,R.S.Puram",641002,General Hospital,Government,4.5
1060,Coimbatore Kidney Centre,Tamilnadu,Coimbatore,"738-B, Puliakulam Road, Coimbatore, Tamilnadu",641045,Maternity Hospital or Birthing Center,Government,3.3
1061,Colaco Hospital,Karnataka,Mangalore,"Lower Bendore Main Road,Dakshina Kannada,",575002,Eye Hospital or Ophthalmology Clinic,Private,3.7
1062,Columbia Asia Hospital,West Bengal,Kolkata,"Ib,193,Sector. 3, Salt Lake, Kolkata-700091",700091,Cancer Treatment Center or Oncology Hospital,Government,4.1
1063,Columbia Asia Hospital,Karnataka,Mysore,"85-86,Bangalore Mysore Ring Road, Junction, Bannimantap A Layout, Siddiqui Nagar",570015,Dental Clinic,Voluntary non-profit ,3.3
1064,Columbia Asia Hospital Palamvihar,Haryana,Gurgaon,"Block F, Near Gol Chakkar, Sector 23 , Palam Vihar, Gurgaon-122017",122017,Cancer Treatment Center or Oncology Hospital,Government,3.6
1065,Columbia Asia Hospital Pvt Ltd,Karnataka,Bangalore,"Kirloskar Business Park, Bellary Road, Hebbal, Bangalore-560024",560024,Cardiology Center,Voluntary non-profit ,3.1
1066,Columbia Asia Hospital Pvt Ltd-Patiala,Punjab,Patiala,"#22, Bhupindra Road, Patiala-147001",147001,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.6
1067,Columbia Asia Hospital Pvt.Ltd-Ghaziabad,Uttar Pradesh,Ghaziabad,"Nh-24, Hapur Road, Opp.Bhameta Village Near Land Craft Golf Links, Ghaziabad, Uttar Praesh",201001,Dental Clinic,Voluntary non-profit ,4.6
1068,Columbia Asia Referral Hospital,Karnataka,Bangalore,"#26/1, 80Feet Dr.Rajkumar Road,Malleshwaran West, Bangalore-560055",560055,Dental Clinic,Voluntary non-profit ,3.5
1069,Columbia Hospital And Research Centre-Nagpur,Maharashtra,Nagpur,"Dr. N.B. Khare Marg, Dhantoli, Nagpur, Maharashtra",440012,Orthopedic Hospital or Clinic,Voluntary non-profit ,3.8
1070,Combined Medical Institute (P) Ltd,Uttaranchal,Dehradun,"54, Harawar Road Dehradun-248001",248001,Maternity Hospital or Birthing Center,Proprietary,4.7
1071,Comtrust Eye Hospital,Kerala,Kozhicode,"Mini Bye Pass Road, Puthiyara (Post), Calicut-673004, Kerala State",673004,Psychiatric Hospital or Mental Health Clinic,Government,4.6
1072,Convenient Hospital Ltd,Madhya Pradesh,Indore,"Ab Road, Near Lig Tringnee, Indorenear L.I.G. Square,",452001,General Hospital,Government,4
1073,Cosmo Medicals Pvt Ltd,Punjab,Mohali,"#8,Phase Viii Sector-62,",160062,Cancer Treatment Center or Oncology Hospital,Government,3.9
1074,Cosmo Multispeciality Hospital,Karnataka,Bangalore,"#64,1St Cross,Kalidasa Circle,Srinagar",560050,Pediatric Hospital,Private,5
1075,Cosmopolitan Hospitals (P) Ltd,Kerala,Trivandrum,"Maurinanjapalam,Pattom",695004,Pediatric Hospital,Private,4.9
1076,Cradle Calicut Maternity Care Pvt Ltd,Kerala,Calicut,"Nh-17, By Pass Road Airport By Pass Road",673014,General Hospital,Government,4
1077,Crescent Hospitals,Tamilnadu,Madurai,"37/1,Sivaganga Road,Opp To Aavin Milk Project",625020,Dental Clinic,Voluntary non-profit ,3.6
1078,Crescent India Medical Education Trust'S Inamdar Hospital,Maharashtra,Pune,"Survey, No:- 15, Fatimanagar, Pune",411040,Maternity Hospital or Birthing Center,Voluntary non-profit ,4
1079,Crescent Nursing Home & Iccu,Maharashtra,Nagpur,"Near Lokmat Square, Dhantoli,1St Lane,1St Lane, Nagpur-440012.",440012,Pediatric Hospital,Voluntary non-profit ,4
1080,Criticare Hospital For Children,Maharashtra,Nashik,"Citycentre,Opp Sindhi Colony,Jail Road",422101,Pediatric Hospital,Private,4.9
1081,Criticare Superspeciality Hospital,Maharashtra,Thane,"Between Hotel Royal Challenge & Cadbury Co.Ltd, E.E. Highway, Thane West.",400602,Cardiology Center,Voluntary non-profit ,4.5
1082,Crystal Eye Centre,Maharashtra,Mumbai,"101, Crystal Residency Dockyard Road, Mazagaon",400010,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,4.7
1083,Csi Hospital,Tamilnadu,Kanchipuram,No.21.Hospital Roadkanchipuram,631502,Maternity Hospital or Birthing Center,Private,4.7
1084,Csi-Church Of South India Hospital,Karnataka,Bangalore,"Post Beg No #4, Hazarat Kambal Posh Roadposh Road,",560051,Dental Clinic,Government,4.3
1085,Csr Nursing Home,Tamilnadu,Coimbatore,"# 272, 7Th Street Extension,Gandhipuram, Coimbatore-641012",641012,Orthopedic Hospital or Clinic,Government,4.6
1086,Cumballa Hill Hospital,Maharashtra,Mumbai,"93-95, August Kranti Marg",400038,General Hospital,Government,3.6
1087,Cure Emergency Hospital,Andhra Pradesh,Khammam,"11-2-91/A, Balajinagar, N.S.T Road, Khammam, Andhrapradesh-507001Balajinagar",507001,Maternity Hospital or Birthing Center,Government,3.4
1088,Cure Hospitals,Andhra Pradesh,Secunderabad,"Plot # 3,Ganesh Nagar Colony,Opp Smt Sarojini Pulla Reddy House,Hasmathpet Road,Bowenpallh",500011,Cardiology Center,Proprietary,5
1089,Cure Well Hospital,Rajasthan,Jaipur,"1/53-Sfs,Mansarower",302020,Psychiatric Hospital or Mental Health Clinic,Private,3.6
1090,Cure Well Hospital,Andhra Pradesh,Warangal,"15-1-46, Srinivasa Colony Opp Mgm Hospital",506007,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.4
1091,Cure-Well Nursing Home,Orissa,Jagatsinghapur,Town Hall Road,754103,"ENT Clinic -Ear, Nose, and Throat",Proprietary,4.9
1092,Curewell Hospital Pvt. Ltd.,Madhya Pradesh,Indore,"19/1-C,New Palasia, Indore",452001,Dental Clinic,Government,4.6
1093,Curie City Cancer Centre,Andhra Pradesh,Krishna,"Padavalarevu,Gunadala,Krishna",520004,Psychiatric Hospital or Mental Health Clinic,Government,3.3
1094,Curie Manavata Cancer Centre,Maharashtra,Nashik,"Mumbai Naka,Opp Mahamarg Bus Stand",422004,Maternity Hospital or Birthing Center,Private,4.7
1095,Cuttack Nursing Home,Orissa,Cuttack,"Markamal Patna,Mangalabag,",753001,"ENT Clinic -Ear, Nose, and Throat",Private,3.3
1096,Cygnus Maharaja Arrarsain Hospital,Haryana,Ranipat,"Opp Devi Mandir, Panipat ,Haryana",132103,Maternity Hospital or Birthing Center,Government,3.5
1097,D D Eye Institute,Rajasthan,Kota,#631 Dadabari Main Road Near Cad Circle,324009,Cancer Treatment Center or Oncology Hospital,Government,4.9
1098,D'Souza Hospital,Maharashtra,Mumbai,"Ramedi Dhowali Vasai, Thane-401201",401201,Eye Hospital or Ophthalmology Clinic,Government,3.5
1099,D'Souza Nursing Home,Himachal Pradesh,Nahan,"Opp. Min Gate Ranital Gardens,Nahannahan",173001,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.2
1100,D.G. Hospital (Devambika Nursing Home),Karnataka,Bangalore,"274 / 275, Mkp Road, Padmanabhanagar, Puttalingaiah Road, Bangalore-560070",560070,Pediatric Hospital,Government,3.3
1101,D.N. Hospital,Haryana,Panipat,"Khanna Road, Krishanpura, Panipat, Haryana",132103,Cardiology Center,Government,4.9
1102,D.S.K. Hospital,Tamilnadu,Coimbatore,"# 19, Kadirnagar, Kangeyam Road, Tirupur.",641604,General Hospital,Private,4.5
1103,D.S.Kothari Hospital,Maharashtra,Mumbai,"Kamala Kutir, Kastirba Chowk,C.P.Tank",400004,Cardiology Center,Proprietary,3.2
1104,Dada Laser Eye Institute,Maharashtra,Pune,"Chaudhari Plaza 1St Floor# 185, M.G. Road,Campchaudhari Plaza, Pune-411001.",411001,Pediatric Hospital,Proprietary,4.1
1105,Daddenavar Hospital & Research Centre,Karnataka,Bagalkot,Ward # 10 & Rural Police Stationnear Rural Police Station,587101,Cardiology Center,Voluntary non-profit ,4.8
1106,Dafodil Nursing Home(P),West Bengal,Kolkata,"# 276 Canal Street,",700048,Maternity Hospital or Birthing Center,Private,3.1
1107,Dahiya Hospital,Haryana,Sonepat,"Near Iti Chowk, Old Dc Road, Sonepat, Haryana",131001,"ENT Clinic -Ear, Nose, and Throat",Private,3.6
1108,Dake Hospital,Maharashtra,Uran,"1St Floor, Suwellar Complex, Uran Karanja Road",400702,Eye Hospital or Ophthalmology Clinic,Proprietary,4.8
1109,Daksh Hospital,Rajasthan,Alwar,"#397,Gandhi Nagar,Sch,No 8,Alwar(Rajashtan-301001)",301001,Pediatric Hospital,Government,4.8
1110,Dakshata Hospital Pvt Ltd,Karnataka,Belgaum,"3375,Subalakshmi Building,College Road",590001,Dental Clinic,Voluntary non-profit ,3.6
1111,Dange Hospital,Karnataka,Hassan,"M.G. Road, Near Adichundhangiri School, Hassan-573201",573201,Pediatric Hospital,Voluntary non-profit ,3.9
1112,Darekar Hospital,Maharashtra,Pune,"Perne Phata,Poona Nagar Road,Tal Haveli",411007,Psychiatric Hospital or Mental Health Clinic,Private,4.9
1113,Darshan Eye Care Clinic (Savjiani Medico (P) Ltd),Gujarat,Rajkot,"2Nd Floor, Parishram Plaza,Mangla Main Roadmangla Main Road, Rajkot.",360002,Eye Hospital or Ophthalmology Clinic,Private,3.4
1114,Darshan Surgical Centre Llp,Tamilnadu,Chennai,"Block T-80, New No-24 5Th Main Road",600040,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,4.5
1115,Dashputra Hospital,Maharashtra,Nagpur,"358, Anandnager, Opp, Sankkara Police Station Nagpur-440009",440009,Psychiatric Hospital or Mental Health Clinic,Private,4.2
1116,Datar Nursing Home,Maharashtra,Mumbai,"33/34, Morumal Mansion, Opp Bachani Nagar,Off Daftary Road, Malad East.",400097,General Hospital,Government,4.4
1117,Datt Maternity & Surgical Home,Maharashtra,Mumbai,"23, Jawahar Nagar 1Stfloor,S.V. Road",400062,Cancer Treatment Center or Oncology Hospital,Government,4.2
1118,Datta Prasad Orthopaedic Nursing Home,Andhra Pradesh,Guntur,"D.No#14-8-38.Netajinagar, 2Nd Lane,Ponnur.",522124,Pediatric Hospital,Private,4.2
1119,Dattatreya Nursing Home,Maharashtra,Mumbai,"Opp Bhandhutva Chs, Datta Mandir Road,Near Vakola Bridge,Santacruz East",400055,Cardiology Center,Government,4.8
1120,Davangere Heart Hospital (Unit Of Suraj Hospital Pvt Ltd),Karnataka,Davangere,"3639,M.C.Colony 9Th Main",577004,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,4.6
1121,Dave Orthopaedic Hospital,Gujarat,Ahmedabad,"Opp S.T. Bus Station,",365601,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.1
1122,Dawar Eye Hospital,Rajasthan,Sriganganagar,"Meera Chowk,Jawahar Nagar,Sri Gnga Nagar",335001,Maternity Hospital or Birthing Center,Proprietary,3.8
1123,Daya Hospital,Delhi,Delhi,"A-4/16,Paschim Vihar,New Delhi",110063,Pediatric Hospital,Proprietary,3.8
1124,Dayanand Medical College Hospital,Punjab,Ludhiana,"Civil Lines, Tagore Nagar, Ludhiana-141001",141001,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.7
1125,Dayanand Nursing Home,Uttar Pradesh,Meerut,"47/L-4, Jawahar Quarters Begum Bridge Road",250001,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,5
1126,Dbr & Sk Super Speciality Hospital,Andhra Pradesh,Chittoor,"No.18-1-505,Mosque Road,Opp.V.V.Mahal Theatre,Chitoor,",517501,Dental Clinic,Government,3.4
1127,Ddmm Heart Instituti,Gujarat,Nadiad,"Mission Road,Nadiad",387002,Cardiology Center,Private,3.9
1128,Debipur Netralaya Pvt Ltd,West Bengal,Burdwan,"Near Kristi Cinema Hall,Memari, Burdwan",713146,Eye Hospital or Ophthalmology Clinic,Government,3.8
1129,Deccan Hospital,Karnataka,Kolar,"Opp Ksrtc Depot, Ashwini Extension, Chintamani, Chikballapura-563125",563125,Cardiology Center,Government,4.5
1130,Deccan Medical Centre Pvt Ltd,Karnataka,Belgaum,"Goods Shed Road, Near Railway Station",590001,Cancer Treatment Center or Oncology Hospital,Proprietary,3.3
1131,Deeksha Hospital,Karnataka,Bangalore,#387/347 Bb Road Nehrunagar Yelahanka Old Town Next To Post Office,560064,General Hospital,Proprietary,3.7
1132,Deendayal Memorial Hospital,Maharashtra,Pune,"# 926, .C. Road, Shivajinagar, Adjucent To Tukaram Pauka Chowk.",411004,Eye Hospital or Ophthalmology Clinic,Private,3.5
1133,Deep Hospital,Punjab,Patiala,Opp Punjabi University,147002,Pediatric Hospital,Government,3.5
1134,Deep Hospital,Madhya Pradesh,Bhopal,"Hig-33, Shivajinagar",462016,Dental Clinic,Private,4
1135,Deep Hospital & Research Centre,Rajasthan,Jaipur,"Khatipura Road,Satya Nagar Mode Jhotwara,",302012,General Hospital,Private,3.9
1136,Deep Intensive And Critical Care,Gujarat,Baroda,"B/4, Maharani Shool, Near Sursagar, Raopura",390001,Orthopedic Hospital or Clinic,Private,4.8
1137,Deep Medical Center,Haryana,Faridabad,"Site No 1, Sector - 16A Mkt Road,Faridabad",121002,Cancer Treatment Center or Oncology Hospital,Proprietary,4
1138,Deep Nursing Home,Punjab,Barnala,College Road,148101,Dental Clinic,Voluntary non-profit ,4.8
1139,Deep Nursing Home,Punjab,Barnala,Collage Road Barnala-148101,,Pediatric Hospital,Proprietary,4.7
1140,Deep Nursing Home,Maharashtra,Thane,"Kalyan Road, Ashok Nagar, Bhiwandi, Thane.",421302,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.8
1141,Deep Nursing Home & Children Hospital,Punjab,Ludhiana,"481-R,Model Town",141002,Maternity Hospital or Birthing Center,Private,4.6
1142,Deepa Hospital,Karnataka,Bangalore,"# 27,Old Madra Road K.R. Puram Ext Bangalore",560036,Cancer Treatment Center or Oncology Hospital,Government,4.8
1143,Deepa Hospital (Tsunami Project Only),Kerala,Alleppey,"Karuvatta Post, Haripad, Alappuzha",690517,Psychiatric Hospital or Mental Health Clinic,Proprietary,3.9
1144,Deepa Kannan Hospital,Tamilnadu,Karur,"# 33,Muthunagar,Karur",639002,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,3.6
1145,Deepa Nursing Home,Karnataka,Chickmangalur,"Chikmanglur, Karnataka",577101,General Hospital,Voluntary non-profit ,3.2
1146,Deepa Nursing Home,Kerala,Kasaragod,"Kunnummal,Kanhangad",671315,Pediatric Hospital,Private,4
1147,Deepak Hospital,Karnataka,Bangalore,"259, 33Rd Cross, Kanakapura Main Road, 7Th Block, Jayanagar-560082",560082,"ENT Clinic -Ear, Nose, and Throat",Private,3.7
1148,Deepak Hospital,Maharashtra,Mumbai,"Holy Complex,Near Sai Petrol Pump,Opp White House Hotel,Mira Bhayandar Mira Road East,Thane",401107,Cardiology Center,Private,3.5
1149,Deepak Memorial & Medical Research Centre,Delhi,Delhi,"5, Institutional Area, Vikas Marg Ex Ii,Vikas Marg Ex 11,",110092,Cardiology Center,Private,4.5
1150,Deepak Nursing Home,Orissa,Bhubaneswar,"Plot No 84, (Dc)Saheed Nagar,",751007,Cancer Treatment Center or Oncology Hospital,Private,3.7
1151,Deepam Eye Hospital,Tamilnadu,Chennai,"#72,Medavakkam,Tank Road,Kilpauk",600010,Maternity Hospital or Birthing Center,Private,4.6
1152,Deepam Hospital,Tamilnadu,Chennai,"#327, Muthurangam Road,Tambaram(West),Kanchipuram,West Tambaram",600045,"ENT Clinic -Ear, Nose, and Throat",Private,4.7
1153,Deepam Hospital,Tamilnadu,Coimbatore,"687, Trichy Road.",641045,Eye Hospital or Ophthalmology Clinic,Proprietary,4.9
1154,Deepam Hospital,Tamilnadu,Valapady,"#128,Ayya Gounder Street,Opp Police Station",636115,Eye Hospital or Ophthalmology Clinic,Government,4.6
1155,Deepam Hospital Ltd,Tamilnadu,Chennai,"30, Ayyasamy Street,",600044,Cardiology Center,Private,3.2
1156,Deepam Hospital Ltd,Tamilnadu,Chennai,"107-A, Gst Road, Chennai",600044,Eye Hospital or Ophthalmology Clinic,Proprietary,4.3
1157,Deepam Hosptial (Tsunami Project Only),Kerala,Kayamkulam,"Kayamkulam, Kanaalloor North,Pattoli Market Post.",690502,Maternity Hospital or Birthing Center,Proprietary,3.5
1158,Deepan Hospital,Delhi,Delhi,"Khasra 139-140, Najafgarh Raod, Kapashera.",110037,Eye Hospital or Ophthalmology Clinic,Proprietary,4.7
1159,Deepashri Hospital (A Unit Of Cadms Trust),Karnataka,"Bangalore,",#86. 2Nd Main 16Th Cross Malagala Nagarabhavi 2Nd Stage Bangalore560072,560072,"ENT Clinic -Ear, Nose, and Throat",Government,4
1160,Deepika Eye Care Hospital,Tamilnadu,Kanchipuram,"1564/4D,Chengalpet Road",602105,"ENT Clinic -Ear, Nose, and Throat",Proprietary,4.7
1161,Deepjyoti Hospital Pvt Ltd,Maharashtra,Nashik,"Crown Complex,Sharanpur Road, Opp Rajiv Gandhi Bhavan",422002,Maternity Hospital or Birthing Center,Government,4.8
1162,Deepshikha Orthopaedic Hospital,Rajasthan,Kota,"P-Square, 1-C-19 (Sfs) Talwandi",324005,Cancer Treatment Center or Oncology Hospital,Proprietary,3.8
1163,Deepthi Hospital,Tamilnadu,Namakkal,"31-A,Mohanur Road",637001,Dental Clinic,Private,4
1164,Deepthi Nursing Home,Andhra Pradesh,Nellore,"Sbi Railway Road, Brindavanam, Psr",524001,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.3
1165,Delhi Heart And Lung Institute,Delhi,Delhi,#3Mm Ii Panchkuian Road New Road-110055New Delhi,110055,Psychiatric Hospital or Mental Health Clinic,Private,4.6
1166,Delhi Hospital & Maternity Home,Haryana,Jind,"# 1151, Urban Estate, Jind,Haryana-126102",126102,Pediatric Hospital,Proprietary,3.2
1167,Delhi Hospital & Nursing Home,Haryana,Jhajjar,"Rohtak Road,Bahadur Garh.",124507,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.4
1168,Delhi Hospital & Temple Nursing Home,Delhi,Delhi,"#1, Ansari Road, Darya Ganj,New Delhi-110002.",110002,Pediatric Hospital,Voluntary non-profit ,4
1169,Delhi Nursing Home,Punjab,Bhatinda,Bibiwala Road,151001,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,3.8
1170,Deodhar Eye Hospital,Maharashtra,Pune,"#39/25, Erandawane, Karve Rd,",411004,Dental Clinic,Private,4.1
1171,Deokate Hospital,Maharashtra,Baramati,Indapur Road,413102,Maternity Hospital or Birthing Center,Private,4.7
1172,Deoki Hospital,Uttar Pradesh,Lucknow,"Ahibaranpur,Sitapur Road,",226020,Cancer Treatment Center or Oncology Hospital,Private,4.6
1173,Deshmukh Hospital,Maharashtra,Parbhani,"#17, Dr.Hedgewar Marg,Station Road,",431401,Pediatric Hospital,Government,4.5
1174,Deshpande Hospital,Maharashtra,Ahmednagar,"Anandi Bazar, Patwardhan Chowk,Anandi Bazar",414001,Maternity Hospital or Birthing Center,Private,3.5
1175,Deshpande Hospital,Maharashtra,Pune,"Parekh B Towers, Biaroba Nala, Fatimanagar",411013,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,3.8
1176,Desun Hospital & Heart Institute,West Bengal,Kolkata,"Em By Pass,Kasba Gol Park",700107,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.8
